Student_ID,Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100),Internal1_25,Internal2_25,Assignment_5,Internal_Total,Risk
S1053,75,34,30,9,3,71,21.25,18.75,4.5,24.5,Medium
S1054,92,36,37,9,3,77,22.5,23.125,4.5,27.3125,Low
S1055,94,33,35,7,4,70,20.625,21.875,3.5,24.75,Medium
S1056,77,33,31,8,3,62,20.625,19.375,4.0,24.0,Medium
S1057,84,39,31,8,3,76,24.375,19.375,4.0,25.875,Low
S1058,88,29,38,8,3,63,18.125,23.75,4.0,24.9375,Medium
S1059,76,33,37,8,3,73,20.625,23.125,4.0,25.875,Medium
S1060,93,38,23,8,3,65,23.75,14.374999999999998,4.0,23.0625,Medium
S1061,77,25,30,7,4,58,15.625,18.75,3.5,20.6875,Medium
S1062,74,29,33,7,3,57,18.125,20.625,3.5,22.875,High
S1063,78,26,27,7,2,48,16.25,16.875,3.5,20.0625,High
S1064,82,36,38,8,3,77,22.5,23.75,4.0,27.125,Low
S1065,78,36,27,8,3,51,22.5,16.875,4.0,23.6875,Medium
S1066,95,37,34,8,2,63,23.125,21.25,4.0,26.1875,Medium
S1067,85,39,40,10,3,75,24.375,25.0,5.0,29.6875,Low
S1068,74,25,31,6,3,58,15.625,19.375,3.0,20.5,High
S1069,88,38,31,7,3,78,23.75,19.375,3.5,25.0625,Low
S1070,74,21,31,6,3,44,13.125,19.375,3.0,19.25,High
S1071,97,36,30,8,3,71,22.5,18.75,4.0,24.625,Medium
S1072,75,31,26,7,2,58,19.375,16.25,3.5,21.3125,Medium
S1073,81,35,35,8,3,73,21.875,21.875,4.0,25.875,Medium
S1074,87,31,34,8,4,66,19.375,21.25,4.0,24.3125,Medium
S1075,79,30,28,6,3,60,18.75,17.5,3.0,21.125,Medium
S1076,77,33,32,6,3,65,20.625,20.0,3.0,23.3125,Medium
S1077,87,28,32,6,3,66,17.5,20.0,3.0,21.75,Medium
S1078,73,33,29,7,3,61,20.625,18.125,3.5,22.875,High
S1079,93,37,40,9,3,76,23.125,25.0,4.5,28.5625,Low
S1080,75,35,31,7,3,67,21.875,19.375,3.5,24.125,Medium
S1081,75,29,34,7,2,53,18.125,21.25,3.5,23.1875,Medium
S1082,84,35,35,7,3,67,21.875,21.875,3.5,25.375,Medium
S1083,67,31,30,6,3,50,19.375,18.75,3.0,22.0625,High
S1084,85,34,30,7,3,57,21.25,18.75,3.5,23.5,Medium
S1085,79,28,33,6,2,60,17.5,20.625,3.0,22.0625,Medium
S1086,88,32,32,7,3,68,20.0,20.0,3.5,23.5,Medium
S1087,84,40,36,9,4,74,25.0,22.5,4.5,28.25,Medium
S1088,92,33,34,8,3,66,20.625,21.25,4.0,24.9375,Medium
S1089,78,33,35,8,3,69,20.625,21.875,4.0,25.25,Medium
S1090,91,40,36,8,2,73,25.0,22.5,4.0,27.75,Medium
S1091,85,37,40,9,3,71,23.125,25.0,4.5,28.5625,Medium
S1092,81,33,34,8,3,66,20.625,21.25,4.0,24.9375,Medium
S1093,87,32,31,6,4,65,20.0,19.375,3.0,22.6875,Medium
S1094,79,33,24,7,2,53,20.625,15.0,3.5,21.3125,Medium
S1095,80,26,32,7,3,56,16.25,20.0,3.5,21.625,Medium
S1096,81,33,33,9,3,62,20.625,20.625,4.5,25.125,Medium
S1097,86,27,36,7,2,69,16.875,22.5,3.5,23.1875,Medium
S1098,84,36,33,7,3,71,22.5,20.625,3.5,25.0625,Medium
S1099,68,27,29,6,2,45,16.875,18.125,3.0,20.5,High
S1100,96,34,37,8,3,80,21.25,23.125,4.0,26.1875,Low
S1101,99,30,40,9,4,80,18.75,25.0,4.5,26.375,Low
S1102,80,30,29,8,3,57,18.75,18.125,4.0,22.4375,Medium
S1103,92,36,28,7,3,67,22.5,17.5,3.5,23.5,Medium
S1104,89,26,34,6,2,56,16.25,21.25,3.0,21.75,Medium
S1105,82,31,34,8,3,69,19.375,21.25,4.0,24.3125,Medium
S1106,83,34,40,9,2,69,21.25,25.0,4.5,27.625,Medium
S1107,94,32,34,6,3,74,20.0,21.25,3.0,23.625,Medium
S1108,72,30,32,7,3,55,18.75,20.0,3.5,22.875,High
S1109,92,36,34,7,4,73,22.5,21.25,3.5,25.375,Medium
S1110,95,36,34,8,3,83,22.5,21.25,4.0,25.875,Low
S1111,80,29,35,8,3,66,18.125,21.875,4.0,24.0,Medium
S1112,97,33,40,9,3,88,20.625,25.0,4.5,27.3125,Low
S1113,91,32,29,7,2,52,20.0,18.125,3.5,22.5625,Medium
S1114,94,35,31,7,4,75,21.875,19.375,3.5,24.125,Low
S1115,84,32,31,8,3,57,20.0,19.375,4.0,23.6875,Medium
S1116,77,27,30,7,2,49,16.875,18.75,3.5,21.3125,High
S1117,82,33,31,7,3,57,20.625,19.375,3.5,23.5,Medium
S1118,67,18,32,5,1,35,11.25,20.0,2.5,18.125,High
S1119,78,24,28,7,3,46,15.0,17.5,3.5,19.75,High
S1120,90,32,33,9,2,65,20.0,20.625,4.5,24.8125,Medium
S1121,78,27,33,7,3,62,16.875,20.625,3.5,22.25,Medium
S1122,88,36,33,8,3,73,22.5,20.625,4.0,25.5625,Medium
S1123,100,24,38,8,4,73,15.0,23.75,4.0,23.375,Medium
S1124,81,29,30,8,2,55,18.125,18.75,4.0,22.4375,Medium
S1125,88,33,39,8,3,78,20.625,24.375,4.0,26.5,Low
S1126,73,33,31,7,3,66,20.625,19.375,3.5,23.5,High
S1127,93,36,36,8,4,72,22.5,22.5,4.0,26.5,Medium
S1128,92,37,35,7,4,69,23.125,21.875,3.5,26.0,Medium
S1129,80,31,29,7,3,59,19.375,18.125,3.5,22.25,Medium
S1130,77,33,29,7,2,49,20.625,18.125,3.5,22.875,High
S1131,81,40,27,8,3,66,25.0,16.875,4.0,24.9375,Medium
S1132,75,35,28,8,2,58,21.875,17.5,4.0,23.6875,Medium
S1133,89,40,31,9,3,78,25.0,19.375,4.5,26.6875,Low
S1134,93,37,35,9,3,76,23.125,21.875,4.5,27.0,Low
S1135,86,32,31,7,3,63,20.0,19.375,3.5,23.1875,Medium
S1136,71,34,20,6,2,42,21.25,12.5,3.0,19.875,High
S1137,98,31,38,7,3,78,19.375,23.75,3.5,25.0625,Low
S1138,89,30,39,7,3,78,18.75,24.375,3.5,25.0625,Low
S1139,87,35,40,9,3,89,21.875,25.0,4.5,27.9375,Low
S1140,72,23,33,6,4,58,14.374999999999998,20.625,3.0,20.5,High
S1141,84,37,34,9,3,71,23.125,21.25,4.5,26.6875,Medium
S1142,85,31,29,8,3,61,19.375,18.125,4.0,22.75,Medium
S1143,86,38,31,9,2,72,23.75,19.375,4.5,26.0625,Medium
S1144,90,25,40,8,3,69,15.625,25.0,4.0,24.3125,Medium
S1145,78,37,33,8,3,75,23.125,20.625,4.0,25.875,Low
S1146,81,31,34,7,3,65,19.375,21.25,3.5,23.8125,Medium
S1147,79,29,34,8,2,56,18.125,21.25,4.0,23.6875,Medium
S1148,83,36,30,9,2,55,22.5,18.75,4.5,25.125,Medium
S1149,70,21,37,6,2,49,13.125,23.125,3.0,21.125,High
S1150,93,30,31,7,3,66,18.75,19.375,3.5,22.5625,Medium
S1151,89,36,38,10,3,80,22.5,23.75,5.0,28.125,Low
S1152,91,35,32,8,3,69,21.875,20.0,4.0,24.9375,Medium
S1153,84,33,36,8,3,69,20.625,22.5,4.0,25.5625,Medium
S1154,87,30,40,8,3,78,18.75,25.0,4.0,25.875,Low
S1155,81,22,40,8,3,62,13.750000000000002,25.0,4.0,23.375,Medium
S1156,98,36,27,6,3,56,22.5,16.875,3.0,22.6875,Medium
S1157,75,21,30,6,3,51,13.125,18.75,3.0,18.9375,Medium
S1158,74,25,27,7,3,46,15.625,16.875,3.5,19.75,High
S1159,84,34,33,7,3,67,21.25,20.625,3.5,24.4375,Medium
S1160,86,31,36,8,3,77,19.375,22.5,4.0,24.9375,Low
S1161,100,39,40,8,3,78,24.375,25.0,4.0,28.6875,Low
S1162,93,40,36,9,3,81,25.0,22.5,4.5,28.25,Low
S1163,89,31,28,7,3,58,19.375,17.5,3.5,21.9375,Medium
S1164,78,34,33,8,3,69,21.25,20.625,4.0,24.9375,Medium
S1165,77,25,27,5,2,44,15.625,16.875,2.5,18.75,High
S1166,77,29,34,7,3,61,18.125,21.25,3.5,23.1875,Medium
S1167,91,30,36,8,4,66,18.75,22.5,4.0,24.625,Medium
S1168,92,34,30,7,3,66,21.25,18.75,3.5,23.5,Medium
S1169,92,30,40,7,3,77,18.75,25.0,3.5,25.375,Low
S1170,77,32,33,7,3,62,20.0,20.625,3.5,23.8125,Medium
S1171,74,25,29,5,2,43,15.625,18.125,2.5,19.375,High
S1172,86,33,34,9,2,62,20.625,21.25,4.5,25.4375,Medium
S1173,89,34,29,8,3,68,21.25,18.125,4.0,23.6875,Medium
S1174,87,33,33,6,3,59,20.625,20.625,3.0,23.625,Medium
S1175,91,28,34,8,3,69,17.5,21.25,4.0,23.375,Medium
S1176,92,40,36,8,2,74,25.0,22.5,4.0,27.75,Medium
S1177,95,36,28,8,4,71,22.5,17.5,4.0,24.0,Medium
S1178,91,37,35,9,2,79,23.125,21.875,4.5,27.0,Low
S1179,72,33,34,8,3,60,20.625,21.25,4.0,24.9375,High
S1180,80,29,23,5,3,48,18.125,14.374999999999998,2.5,18.75,High
S1181,83,32,30,9,3,65,20.0,18.75,4.5,23.875,Medium
S1182,100,36,40,10,3,80,22.5,25.0,5.0,28.75,Low
S1183,79,33,26,7,3,55,20.625,16.25,3.5,21.9375,Medium
S1184,82,29,40,7,3,67,18.125,25.0,3.5,25.0625,Medium
S1185,83,35,32,9,2,62,21.875,20.0,4.5,25.4375,Medium
S1186,91,32,39,7,3,70,20.0,24.375,3.5,25.6875,Medium
S1187,82,34,32,9,3,61,21.25,20.0,4.5,25.125,Medium
S1188,87,31,28,8,3,63,19.375,17.5,4.0,22.4375,Medium
S1189,74,31,28,6,2,44,19.375,17.5,3.0,21.4375,High
S1190,86,34,33,7,3,67,21.25,20.625,3.5,24.4375,Medium
S1191,94,36,35,8,2,68,22.5,21.875,4.0,26.1875,Medium
S1192,90,35,30,7,3,63,21.875,18.75,3.5,23.8125,Medium
S1193,83,37,33,7,4,72,23.125,20.625,3.5,25.375,Medium
S1194,92,33,32,6,2,66,20.625,20.0,3.0,23.3125,Medium
S1195,92,34,29,6,3,66,21.25,18.125,3.0,22.6875,Medium
S1196,88,31,31,8,3,65,19.375,19.375,4.0,23.375,Medium
S1197,90,34,35,8,2,65,21.25,21.875,4.0,25.5625,Medium
S1198,93,36,38,8,3,87,22.5,23.75,4.0,27.125,Low
S1199,79,31,27,8,3,62,19.375,16.875,4.0,22.125,Medium
S1200,80,35,33,8,3,69,21.875,20.625,4.0,25.25,Medium
S1201,90,35,33,8,3,70,21.875,20.625,4.0,25.25,Medium
S1202,99,27,40,7,3,81,16.875,25.0,3.5,24.4375,Low
S1203,84,34,30,7,4,65,21.25,18.75,3.5,23.5,Medium
S1204,77,34,31,7,2,51,21.25,19.375,3.5,23.8125,Medium
S1205,95,38,39,7,3,77,23.75,24.375,3.5,27.5625,Low
S1206,82,35,34,8,3,72,21.875,21.25,4.0,25.5625,Medium
S1207,82,26,33,7,3,59,16.25,20.625,3.5,21.9375,Medium
S1208,66,22,27,6,3,43,13.750000000000002,16.875,3.0,18.3125,High
S1209,84,37,29,8,3,70,23.125,18.125,4.0,24.625,Medium
S1210,90,33,31,8,3,67,20.625,19.375,4.0,24.0,Medium
S1211,77,27,37,8,2,66,16.875,23.125,4.0,24.0,Medium
S1212,92,31,30,7,3,60,19.375,18.75,3.5,22.5625,Medium
S1213,77,40,26,8,3,61,25.0,16.25,4.0,24.625,Medium
S1214,80,29,32,6,4,53,18.125,20.0,3.0,22.0625,Medium
S1215,77,26,23,6,3,47,16.25,14.374999999999998,3.0,18.3125,High
S1216,78,33,29,7,2,59,20.625,18.125,3.5,22.875,Medium
S1217,73,30,33,7,1,49,18.75,20.625,3.5,23.1875,High
S1218,82,33,29,7,2,58,20.625,18.125,3.5,22.875,Medium
S1219,81,24,33,7,2,54,15.0,20.625,3.5,21.3125,Medium
S1220,82,28,25,7,3,52,17.5,15.625,3.5,20.0625,Medium
S1221,86,40,35,9,3,81,25.0,21.875,4.5,27.9375,Low
S1222,71,30,26,6,3,57,18.75,16.25,3.0,20.5,High
S1223,88,23,30,7,3,57,14.374999999999998,18.75,3.5,20.0625,Medium
S1224,89,29,33,6,3,64,18.125,20.625,3.0,22.375,Medium
S1225,83,33,28,7,2,56,20.625,17.5,3.5,22.5625,Medium
S1226,89,34,40,7,3,76,21.25,25.0,3.5,26.625,Low
S1227,84,35,33,9,3,69,21.875,20.625,4.5,25.75,Medium
S1228,99,36,40,10,3,73,22.5,25.0,5.0,28.75,Medium
S1229,93,33,35,8,3,71,20.625,21.875,4.0,25.25,Medium
S1230,91,30,36,7,3,72,18.75,22.5,3.5,24.125,Medium
S1231,74,27,27,5,3,40,16.875,16.875,2.5,19.375,High
S1232,85,37,27,8,3,62,23.125,16.875,4.0,24.0,Medium
S1233,90,38,31,8,2,65,23.75,19.375,4.0,25.5625,Medium
S1234,92,36,28,8,3,73,22.5,17.5,4.0,24.0,Medium
S1235,84,24,32,8,2,50,15.0,20.0,4.0,21.5,Medium
S1236,100,37,40,9,3,87,23.125,25.0,4.5,28.5625,Low
S1237,88,32,32,8,3,59,20.0,20.0,4.0,24.0,Medium
S1238,80,29,34,8,3,61,18.125,21.25,4.0,23.6875,Medium
S1239,80,30,37,8,3,72,18.75,23.125,4.0,24.9375,Medium
S1240,89,34,37,9,4,77,21.25,23.125,4.5,26.6875,Low
S1241,91,31,36,9,3,74,19.375,22.5,4.5,25.4375,Medium
S1242,90,33,37,8,3,72,20.625,23.125,4.0,25.875,Medium
S1243,84,38,39,8,3,87,23.75,24.375,4.0,28.0625,Low
S1244,94,34,40,8,3,80,21.25,25.0,4.0,27.125,Low
S1245,73,27,29,7,2,52,16.875,18.125,3.5,21.0,High
S1246,80,29,28,7,3,52,18.125,17.5,3.5,21.3125,Medium
S1247,86,35,30,9,4,75,21.875,18.75,4.5,24.8125,Low
S1248,92,31,35,7,3,70,19.375,21.875,3.5,24.125,Medium
S1249,89,36,40,8,3,78,22.5,25.0,4.0,27.75,Low
S1250,77,28,34,8,3,64,17.5,21.25,4.0,23.375,Medium
S1251,94,34,34,8,4,75,21.25,21.25,4.0,25.25,Low
S1252,97,39,37,9,4,87,24.375,23.125,4.5,28.25,Low
S1253,99,40,33,9,3,87,25.0,20.625,4.5,27.3125,Low
S1254,88,33,40,8,3,76,20.625,25.0,4.0,26.8125,Low
S1255,100,38,36,9,3,85,23.75,22.5,4.5,27.625,Low
S1256,90,29,40,8,2,80,18.125,25.0,4.0,25.5625,Low
S1257,88,32,29,8,3,69,20.0,18.125,4.0,23.0625,Medium
S1258,86,36,37,7,2,62,22.5,23.125,3.5,26.3125,Medium
S1259,79,34,28,7,3,62,21.25,17.5,3.5,22.875,Medium
S1260,83,31,29,8,2,53,19.375,18.125,4.0,22.75,Medium
S1261,86,34,30,8,3,54,21.25,18.75,4.0,24.0,Medium
S1262,82,36,30,9,2,64,22.5,18.75,4.5,25.125,Medium
S1263,85,34,27,7,2,58,21.25,16.875,3.5,22.5625,Medium
S1264,67,30,26,7,2,53,18.75,16.25,3.5,21.0,High
S1265,93,34,38,7,3,72,21.25,23.75,3.5,26.0,Medium
S1266,71,32,25,7,3,53,20.0,15.625,3.5,21.3125,High
S1267,87,34,38,9,3,82,21.25,23.75,4.5,27.0,Low
S1268,86,32,26,8,4,60,20.0,16.25,4.0,22.125,Medium
S1269,84,32,26,7,3,56,20.0,16.25,3.5,21.625,Medium
S1270,80,36,31,7,2,62,22.5,19.375,3.5,24.4375,Medium
S1271,92,32,33,8,3,67,20.0,20.625,4.0,24.3125,Medium
S1272,89,37,31,8,4,66,23.125,19.375,4.0,25.25,Medium
S1273,91,38,35,9,3,85,23.75,21.875,4.5,27.3125,Low
S1274,80,29,26,7,2,60,18.125,16.25,3.5,20.6875,Medium
S1275,94,40,34,7,2,74,25.0,21.25,3.5,26.625,Medium
S1276,77,35,30,8,1,60,21.875,18.75,4.0,24.3125,Medium
S1277,87,30,27,7,4,55,18.75,16.875,3.5,21.3125,Medium
S1278,76,27,31,7,2,61,16.875,19.375,3.5,21.625,Medium
S1279,91,34,37,8,3,78,21.25,23.125,4.0,26.1875,Low
S1280,77,29,35,8,3,57,18.125,21.875,4.0,24.0,Medium
S1281,94,37,28,9,3,67,23.125,17.5,4.5,24.8125,Medium
S1282,71,30,30,7,3,54,18.75,18.75,3.5,22.25,High
S1283,75,29,33,8,3,61,18.125,20.625,4.0,23.375,Medium
S1284,83,37,33,8,2,67,23.125,20.625,4.0,25.875,Medium
S1285,86,34,37,9,3,81,21.25,23.125,4.5,26.6875,Low
S1286,96,40,38,9,4,90,25.0,23.75,4.5,28.875,Low
S1287,86,32,24,6,2,59,20.0,15.0,3.0,20.5,Medium
S1288,90,38,39,9,4,85,23.75,24.375,4.5,28.5625,Low
S1289,77,40,29,8,3,75,25.0,18.125,4.0,25.5625,Low
S1290,82,29,28,7,2,52,18.125,17.5,3.5,21.3125,Medium
S1291,78,32,29,7,2,61,20.0,18.125,3.5,22.5625,Medium
S1292,83,34,28,7,3,70,21.25,17.5,3.5,22.875,Medium
S1293,86,28,36,8,3,69,17.5,22.5,4.0,24.0,Medium
S1294,79,31,29,7,3,60,19.375,18.125,3.5,22.25,Medium
S1295,89,39,38,9,3,78,24.375,23.75,4.5,28.5625,Low
S1296,90,31,28,7,3,62,19.375,17.5,3.5,21.9375,Medium
S1297,69,27,30,8,2,45,16.875,18.75,4.0,21.8125,High
S1298,74,31,33,8,2,53,19.375,20.625,4.0,24.0,High
S1299,78,29,26,7,2,53,18.125,16.25,3.5,20.6875,Medium
S1300,80,26,24,5,3,47,16.25,15.0,2.5,18.125,High
S1301,85,31,35,8,3,61,19.375,21.875,4.0,24.625,Medium
S1302,86,29,19,5,3,47,18.125,11.875,2.5,17.5,High
S1303,76,21,34,6,2,54,13.125,21.25,3.0,20.1875,Medium
S1304,82,29,32,7,3,61,18.125,20.0,3.5,22.5625,Medium
S1305,79,28,31,7,2,61,17.5,19.375,3.5,21.9375,Medium
S1306,93,29,36,7,3,61,18.125,22.5,3.5,23.8125,Medium
S1307,83,35,32,9,3,69,21.875,20.0,4.5,25.4375,Medium
S1308,79,31,31,6,3,63,19.375,19.375,3.0,22.375,Medium
S1309,90,40,38,10,3,88,25.0,23.75,5.0,29.375,Low
S1310,80,33,30,8,2,61,20.625,18.75,4.0,23.6875,Medium
S1311,71,32,30,8,2,54,20.0,18.75,4.0,23.375,High
S1312,82,32,29,8,3,65,20.0,18.125,4.0,23.0625,Medium
S1313,79,29,28,7,3,57,18.125,17.5,3.5,21.3125,Medium
S1314,75,25,29,7,3,51,15.625,18.125,3.5,20.375,Medium
S1315,87,32,37,8,3,65,20.0,23.125,4.0,25.5625,Medium
S1316,86,32,30,7,3,60,20.0,18.75,3.5,22.875,Medium
S1317,86,36,36,8,3,76,22.5,22.5,4.0,26.5,Low
S1318,100,39,40,8,3,85,24.375,25.0,4.0,28.6875,Low
S1319,81,35,33,8,3,76,21.875,20.625,4.0,25.25,Low
S1320,66,27,32,6,2,41,16.875,20.0,3.0,21.4375,High
S1321,80,33,32,6,2,59,20.625,20.0,3.0,23.3125,Medium
S1322,80,30,30,6,3,55,18.75,18.75,3.0,21.75,Medium
S1323,88,33,37,7,3,68,20.625,23.125,3.5,25.375,Medium
S1324,92,32,31,7,3,70,20.0,19.375,3.5,23.1875,Medium
S1325,86,32,29,7,3,63,20.0,18.125,3.5,22.5625,Medium
S1326,68,31,21,6,2,38,19.375,13.125,3.0,19.25,High
S1327,81,26,22,6,3,55,16.25,13.750000000000002,3.0,18.0,Medium
S1328,83,38,29,8,3,72,23.75,18.125,4.0,24.9375,Medium
S1329,74,27,27,6,3,49,16.875,16.875,3.0,19.875,High
S1330,91,31,35,8,3,64,19.375,21.875,4.0,24.625,Medium
S1331,81,27,22,5,2,40,16.875,13.750000000000002,2.5,17.8125,High
S1332,77,29,31,8,3,68,18.125,19.375,4.0,22.75,Medium
S1333,84,38,26,7,3,71,23.75,16.25,3.5,23.5,Medium
S1334,77,32,25,7,3,47,20.0,15.625,3.5,21.3125,High
S1335,85,28,33,7,3,62,17.5,20.625,3.5,22.5625,Medium
S1336,91,31,35,8,3,69,19.375,21.875,4.0,24.625,Medium
S1337,83,31,39,7,3,70,19.375,24.375,3.5,25.375,Medium
S1338,76,30,30,7,3,50,18.75,18.75,3.5,22.25,Medium
S1339,74,32,24,8,2,56,20.0,15.0,4.0,21.5,High
S1340,86,40,35,9,2,80,25.0,21.875,4.5,27.9375,Low
S1341,78,28,35,8,2,50,17.5,21.875,4.0,23.6875,Medium
S1342,82,34,36,8,3,63,21.25,22.5,4.0,25.875,Medium
S1343,78,31,32,7,3,55,19.375,20.0,3.5,23.1875,Medium
S1344,81,36,40,9,2,70,22.5,25.0,4.5,28.25,Medium
S1345,93,38,37,9,4,89,23.75,23.125,4.5,27.9375,Low
S1346,79,28,34,7,3,54,17.5,21.25,3.5,22.875,Medium
S1347,84,26,24,6,2,40,16.25,15.0,3.0,18.625,High
S1348,76,33,26,7,2,53,20.625,16.25,3.5,21.9375,Medium
S1349,81,27,37,8,2,48,16.875,23.125,4.0,24.0,High
S1350,82,31,39,8,3,73,19.375,24.375,4.0,25.875,Medium
S1351,82,35,36,9,3,76,21.875,22.5,4.5,26.6875,Low
S1352,83,28,33,6,2,55,17.5,20.625,3.0,22.0625,Medium
S1353,76,29,29,7,3,52,18.125,18.125,3.5,21.625,Medium
S1354,82,30,31,7,2,60,18.75,19.375,3.5,22.5625,Medium
S1355,96,40,36,9,3,89,25.0,22.5,4.5,28.25,Low
S1356,78,30,33,7,3,62,18.75,20.625,3.5,23.1875,Medium
S1357,91,30,33,8,4,74,18.75,20.625,4.0,23.6875,Medium
S1358,100,37,40,8,3,92,23.125,25.0,4.0,28.0625,Low
S1359,83,29,35,7,2,64,18.125,21.875,3.5,23.5,Medium
S1360,96,40,35,8,2,79,25.0,21.875,4.0,27.4375,Low
S1361,75,23,27,6,2,48,14.374999999999998,16.875,3.0,18.625,High
S1362,95,31,39,8,3,77,19.375,24.375,4.0,25.875,Low
S1363,87,38,29,7,2,72,23.75,18.125,3.5,24.4375,Medium
S1364,95,36,28,6,2,63,22.5,17.5,3.0,23.0,Medium
S1365,78,31,33,7,2,67,19.375,20.625,3.5,23.5,Medium
S1366,86,39,39,9,3,78,24.375,24.375,4.5,28.875,Low
S1367,76,36,29,7,3,58,22.5,18.125,3.5,23.8125,Medium
S1368,82,36,28,6,3,58,22.5,17.5,3.0,23.0,Medium
S1369,71,24,21,6,2,41,15.0,13.125,3.0,17.0625,High
S1370,84,31,35,8,3,66,19.375,21.875,4.0,24.625,Medium
S1371,78,33,24,7,2,47,20.625,15.0,3.5,21.3125,High
S1372,79,37,29,9,2,69,23.125,18.125,4.5,25.125,Medium
S1373,92,31,31,7,2,70,19.375,19.375,3.5,22.875,Medium
S1374,66,23,29,7,2,47,14.374999999999998,18.125,3.5,19.75,High
S1375,77,33,27,7,4,70,20.625,16.875,3.5,22.25,Medium
S1376,77,27,24,6,2,48,16.875,15.0,3.0,18.9375,High
S1377,88,29,27,7,3,59,18.125,16.875,3.5,21.0,Medium
S1378,94,36,28,8,4,69,22.5,17.5,4.0,24.0,Medium
S1379,83,32,32,7,4,61,20.0,20.0,3.5,23.5,Medium
S1380,81,30,35,7,2,60,18.75,21.875,3.5,23.8125,Medium
